datetime_utc,date,time,week,symbol,direction,ticket,lots,entry,sl,tp,status,pnl
2025-11-06T17:47:15.987524+00:00,2025-11-06,17:47:15.987524,45,USDCHF,long,0,1.0,0.80715,0.8065378550000001,0.8083742899999999,skipped,0.0
2025-11-06T17:47:47.092371+00:00,2025-11-06,17:47:47.092371,45,USDCHF,long,0,1.0,0.80716,0.806537852,0.8084042959999999,skipped,0.0
2025-11-06T17:48:18.591597+00:00,2025-11-06,17:48:18.591597,45,USDCHF,long,0,1.0,0.80715,0.8065378550000001,0.8083742899999999,skipped,0.0
2025-11-06T17:48:49.770600+00:00,2025-11-06,17:48:49.770600,45,USDCHF,long,0,1.0,0.80724,0.8065378280000001,0.8086443439999997,skipped,0.0
2025-11-06T17:49:21.720269+00:00,2025-11-06,17:49:21.720269,45,EURUSD,short,0,1.0,1.15365,1.154626095,1.1516978100000002,skipped,0.0
2025-11-06T17:49:23.296828+00:00,2025-11-06,17:49:23.296828,45,USDCHF,long,0,1.0,0.80734,0.806537798,0.8089444039999998,skipped,0.0
2025-11-06T17:49:54.638073+00:00,2025-11-06,17:49:54.638073,45,USDCHF,long,0,1.0,0.80736,0.8065377920000001,0.8090044159999997,skipped,0.0
2025-11-06T17:50:25.587258+00:00,2025-11-06,17:50:25.587258,45,USDCHF,long,0,1.0,0.80738,0.806537786,0.8090644279999999,skipped,0.0
2025-11-06T17:57:33.788094+00:00,2025-11-06,17:57:33.788094,45,USDCHF,long,0,1.0,0.80722,0.806537834,0.8085843320000001,skipped,0.0
2025-11-06T17:59:06.641838+00:00,2025-11-06,17:59:06.641838,45,USDCHF,long,0,1.0,0.8072,0.8065378400000001,0.80852432,skipped,0.0
2025-11-06T17:59:38.723272+00:00,2025-11-06,17:59:38.723272,45,USDCHF,long,0,1.0,0.80715,0.8065378550000001,0.8083742899999999,skipped,0.0
2025-11-06T18:17:59.304123+00:00,2025-11-06,18:17:59.304123,45,EURUSD,short,0,1.0,1.15433,1.15483,1.1533300000000002,skipped,0.0
2025-11-06T18:20:03.146643+00:00,2025-11-06,18:20:03.146643,45,EURUSD,short,0,1.0,1.15434,1.1548399999999999,1.15334,skipped,0.0
2025-11-06T18:21:35.626951+00:00,2025-11-06,18:21:35.626951,45,EURUSD,short,0,1.0,1.15432,1.15482,1.1533200000000001,skipped,0.0
2025-11-06T18:24:39.172836+00:00,2025-11-06,18:24:39.172836,45,EURUSD,short,0,1.0,1.15434,1.1548399999999999,1.15334,skipped,0.0
2025-11-06T19:00:52.452590+00:00,2025-11-06,19:00:52.452590,45,USDCHF,long,0,1.0,0.80671,0.8062100000000001,0.8077099999999999,skipped,0.0
2025-11-06T19:01:24.397803+00:00,2025-11-06,19:01:24.397803,45,USDCHF,long,0,1.0,0.80672,0.80622,0.8077199999999999,skipped,0.0
2025-11-06T19:06:00.096687+00:00,2025-11-06,19:06:00.096687,45,USDCHF,long,0,1.0,0.80671,0.8062100000000001,0.8077099999999999,skipped,0.0
2025-11-06T19:35:54.766918+00:00,2025-11-06,19:35:54.766918,45,USDCAD,long,53733896849,1.0,1.41068,1.4085867959999998,1.4148664080000002,opened,0.0
2025-11-06T19:36:26.353260+00:00,2025-11-06,19:36:26.353260,45,GBPUSD,short,53733901212,1.0,1.31389,1.314664167,1.3123416659999998,opened,0.0
2025-11-06T19:36:27.782125+00:00,2025-11-06,19:36:27.782125,45,USDCAD,long,0,1.0,1.41067,1.4085867989999998,1.4148364020000006,skipped,0.0
2025-11-06T19:36:59.677261+00:00,2025-11-06,19:36:59.677261,45,EURUSD,short,0,1.0,1.1549,1.1554,1.1539000000000001,skipped,0.0
2025-11-06T19:37:00.246125+00:00,2025-11-06,19:37:00.246125,45,GBPUSD,short,0,1.0,1.31385,1.314664155,1.3122216899999999,skipped,0.0
2025-11-06T19:37:33.537113+00:00,2025-11-06,19:37:33.537113,45,GBPUSD,short,0,1.0,1.31384,1.314664152,1.3121916959999997,skipped,0.0
2025-11-06T19:37:35.151069+00:00,2025-11-06,19:37:35.151069,45,USDCAD,long,0,1.0,1.41071,1.408586787,1.4149564259999998,skipped,0.0
2025-11-06T19:38:06.916302+00:00,2025-11-06,19:38:06.916302,45,GBPUSD,short,0,1.0,1.3137699999999999,1.314664131,1.3119817379999996,skipped,0.0
2025-11-06T19:38:37.970880+00:00,2025-11-06,19:38:37.970880,45,GBPUSD,short,0,1.0,1.31365,1.3146640950000001,1.3116218099999997,skipped,0.0
2025-11-06T19:39:10.960868+00:00,2025-11-06,19:39:10.960868,45,EURUSD,short,0,1.0,1.15464,1.155366392,1.1531872160000005,skipped,0.0
2025-11-06T19:39:12.292649+00:00,2025-11-06,19:39:12.292649,45,GBPUSD,short,0,1.0,1.31362,1.314664086,1.311531828,skipped,0.0
2025-11-06T19:39:13.234872+00:00,2025-11-06,19:39:13.234872,45,USDCHF,long,0,1.0,0.80654,0.8060400000000001,0.8075399999999999,skipped,0.0
2025-11-06T19:39:44.255831+00:00,2025-11-06,19:39:44.255831,45,EURUSD,short,0,1.0,1.15465,1.155366395,1.15321721,skipped,0.0
2025-11-06T19:39:44.823705+00:00,2025-11-06,19:39:44.823705,45,GBPUSD,short,0,1.0,1.31351,1.314664053,1.3112018939999999,skipped,0.0
2025-11-06T19:40:17.516005+00:00,2025-11-06,19:40:17.516005,45,EURUSD,short,0,1.0,1.15459,1.155366377,1.153037246,skipped,0.0
2025-11-06T19:40:18.659166+00:00,2025-11-06,19:40:18.659166,45,GBPUSD,short,0,1.0,1.31344,1.314664032,1.3109919359999997,skipped,0.0
2025-11-06T19:40:50.777403+00:00,2025-11-06,19:40:50.777403,45,EURUSD,short,0,1.0,1.15461,1.1553663829999998,1.153097234,skipped,0.0
2025-11-06T19:40:52.624177+00:00,2025-11-06,19:40:52.624177,45,USDCHF,long,0,1.0,0.80658,0.80608,0.8075799999999999,skipped,0.0
2025-11-06T19:41:24.545132+00:00,2025-11-06,19:41:24.545132,45,EURUSD,short,0,1.0,1.15465,1.155366395,1.15321721,skipped,0.0
2025-11-06T19:41:26.001180+00:00,2025-11-06,19:41:26.001180,45,GBPUSD,short,0,1.0,1.31352,1.314664056,1.311231888,skipped,0.0
2025-11-06T19:41:27.038397+00:00,2025-11-06,19:41:27.038397,45,USDCAD,long,0,1.0,1.41119,1.4085866429999998,1.4163967140000002,skipped,0.0
2025-11-06T19:41:59.898534+00:00,2025-11-06,19:41:59.898534,45,GBPUSD,short,0,1.0,1.31339,1.3146640170000001,1.310841966,skipped,0.0
2025-11-06T19:42:01.328995+00:00,2025-11-06,19:42:01.328995,45,USDCAD,long,0,1.0,1.41116,1.4085866519999999,1.4163066960000001,skipped,0.0
2025-11-06T19:42:33.197700+00:00,2025-11-06,19:42:33.197700,45,EURUSD,short,0,1.0,1.15462,1.1553663859999999,1.1531272280000002,skipped,0.0
2025-11-06T19:42:34.169649+00:00,2025-11-06,19:42:34.169649,45,GBPUSD,short,0,1.0,1.31344,1.314664032,1.3109919359999997,skipped,0.0
2025-11-06T19:43:06.230416+00:00,2025-11-06,19:43:06.230416,45,EURUSD,short,0,1.0,1.1547,1.1553664099999998,1.1533671800000005,skipped,0.0
2025-11-06T19:43:38.143567+00:00,2025-11-06,19:43:38.143567,45,EURUSD,short,0,1.0,1.15468,1.155366404,1.1533071919999998,skipped,0.0
2025-11-06T19:43:38.430190+00:00,2025-11-06,19:43:38.430190,45,GBPUSD,short,0,1.0,1.31352,1.314664056,1.311231888,skipped,0.0
2025-11-06T19:43:39.403307+00:00,2025-11-06,19:43:39.403307,45,AUDUSD,short,53733949954,1.0,0.64839,0.64889,0.6473900000000001,opened,0.0
2025-11-06T19:44:11.188375+00:00,2025-11-06,19:44:11.188375,45,EURUSD,short,0,1.0,1.15464,1.155366392,1.1531872160000005,skipped,0.0
2025-11-06T19:44:43.361335+00:00,2025-11-06,19:44:43.361335,45,EURUSD,short,0,1.0,1.15455,1.155366365,1.15291727,skipped,0.0
2025-11-06T19:44:43.895132+00:00,2025-11-06,19:44:43.895132,45,GBPUSD,short,0,1.0,1.31345,1.314664035,1.31102193,skipped,0.0
2025-11-06T19:45:15.874080+00:00,2025-11-06,19:45:15.874080,45,EURUSD,short,0,1.0,1.15454,1.1553663619999999,1.152887276,skipped,0.0
2025-11-06T19:45:49.006238+00:00,2025-11-06,19:45:49.006238,45,EURUSD,short,0,1.0,1.15449,1.155366347,1.1527373060000001,skipped,0.0
2025-11-06T19:45:50.524378+00:00,2025-11-06,19:45:50.524378,45,GBPUSD,short,0,1.0,1.31348,1.3146640440000001,1.3111119119999997,skipped,0.0
2025-11-06T19:45:51.855979+00:00,2025-11-06,19:45:51.855979,45,USDCAD,long,0,1.0,1.41112,1.4085866639999998,1.4161866720000003,skipped,0.0
2025-11-06T19:46:23.719382+00:00,2025-11-06,19:46:23.719382,45,EURUSD,short,0,1.0,1.15445,1.1553663349999999,1.1526173300000002,skipped,0.0
2025-11-06T19:46:24.627895+00:00,2025-11-06,19:46:24.627895,45,GBPUSD,short,0,1.0,1.31335,1.314664005,1.31072199,skipped,0.0
2025-11-06T19:46:26.188631+00:00,2025-11-06,19:46:26.188631,45,USDCHF,long,0,1.0,0.80655,0.80605,0.8075499999999999,skipped,0.0
2025-11-06T19:46:27.645161+00:00,2025-11-06,19:46:27.645161,45,USDCAD,long,0,1.0,1.4111799999999999,1.4085866459999998,1.416366708,skipped,0.0
2025-11-06T19:46:29.144833+00:00,2025-11-06,19:46:29.144833,45,AUDUSD,short,0,1.0,0.64833,0.6488299999999999,0.6473300000000001,skipped,0.0
2025-11-06T19:47:00.845192+00:00,2025-11-06,19:47:00.845192,45,GBPUSD,short,0,1.0,1.31336,1.314664008,1.3107519840000001,skipped,0.0
2025-11-06T19:47:01.895629+00:00,2025-11-06,19:47:01.895629,45,USDCHF,long,0,1.0,0.8066,0.8061,0.8075999999999999,skipped,0.0
2025-11-06T19:47:02.797209+00:00,2025-11-06,19:47:02.797209,45,USDCAD,long,0,1.0,1.41121,1.408586637,1.4164567260000003,skipped,0.0
2025-11-06T19:47:04.264497+00:00,2025-11-06,19:47:04.264497,45,AUDUSD,short,0,1.0,0.64835,0.6488499999999999,0.6473500000000001,skipped,0.0
2025-11-06T19:47:35.274232+00:00,2025-11-06,19:47:35.274232,45,EURUSD,short,0,1.0,1.15439,1.155366317,1.1524373660000002,skipped,0.0
2025-11-06T19:47:35.858905+00:00,2025-11-06,19:47:35.858905,45,GBPUSD,short,0,1.0,1.31335,1.314664005,1.31072199,skipped,0.0
2025-11-06T19:47:36.757895+00:00,2025-11-06,19:47:36.757895,45,USDCHF,long,0,1.0,0.80663,0.80613,0.8076299999999998,skipped,0.0
2025-11-06T19:47:37.266090+00:00,2025-11-06,19:47:37.266090,45,USDCAD,long,0,1.0,1.41119,1.4085866429999998,1.4163967140000002,skipped,0.0
2025-11-06T19:47:38.297745+00:00,2025-11-06,19:47:38.297745,45,AUDUSD,short,0,1.0,0.64831,0.64881,0.6473100000000002,skipped,0.0
2025-11-06T19:48:09.641349+00:00,2025-11-06,19:48:09.641349,45,EURUSD,short,0,1.0,1.15434,1.155366302,1.1522873959999997,skipped,0.0
2025-11-06T19:48:11.359931+00:00,2025-11-06,19:48:11.359931,45,USDCHF,long,0,1.0,0.80662,0.8061200000000001,0.8076199999999999,skipped,0.0
2025-11-06T19:48:11.907301+00:00,2025-11-06,19:48:11.907301,45,USDCAD,long,0,1.0,1.41121,1.408586637,1.4164567260000003,skipped,0.0
2025-11-06T19:48:12.619937+00:00,2025-11-06,19:48:12.619937,45,AUDUSD,short,0,1.0,0.64832,0.64882,0.6473200000000001,skipped,0.0
2025-11-06T19:48:43.648238+00:00,2025-11-06,19:48:43.648238,45,EURUSD,short,0,1.0,1.15439,1.155366317,1.1524373660000002,skipped,0.0
2025-11-06T19:48:44.063963+00:00,2025-11-06,19:48:44.063963,45,GBPUSD,short,0,1.0,1.31327,1.314663981,1.3104820379999997,skipped,0.0
2025-11-06T19:48:45.718169+00:00,2025-11-06,19:48:45.718169,45,USDCAD,long,0,1.0,1.41131,1.408586607,1.4167567860000003,skipped,0.0
2025-11-06T19:48:46.820822+00:00,2025-11-06,19:48:46.820822,45,AUDUSD,short,0,1.0,0.64827,0.64877,0.6472700000000001,skipped,0.0
2025-11-06T19:49:17.996547+00:00,2025-11-06,19:49:17.996547,45,EURUSD,short,0,1.0,1.15436,1.1553663079999998,1.1523473840000005,skipped,0.0
2025-11-06T19:49:18.310819+00:00,2025-11-06,19:49:18.310819,45,GBPUSD,short,0,1.0,1.31328,1.314663984,1.3105120319999999,skipped,0.0
2025-11-06T19:49:19.621342+00:00,2025-11-06,19:49:19.621342,45,USDCAD,long,0,1.0,1.41132,1.408586604,1.416786792,skipped,0.0
2025-11-06T19:49:20.913861+00:00,2025-11-06,19:49:20.913861,45,AUDUSD,short,0,1.0,0.64821,0.6487244630000001,0.6471810739999997,skipped,0.0
2025-11-06T19:49:52.294464+00:00,2025-11-06,19:49:52.294464,45,EURUSD,short,0,1.0,1.15449,1.155366347,1.1527373060000001,skipped,0.0
2025-11-06T19:49:52.672412+00:00,2025-11-06,19:49:52.672412,45,GBPUSD,short,0,1.0,1.3134000000000001,1.3146640200000002,1.31087196,skipped,0.0
2025-11-06T19:49:53.568278+00:00,2025-11-06,19:49:53.568278,45,USDCHF,long,0,1.0,0.80655,0.80605,0.8075499999999999,skipped,0.0
2025-11-06T19:49:54.497885+00:00,2025-11-06,19:49:54.497885,45,USDCAD,long,0,1.0,1.41119,1.4085866429999998,1.4163967140000002,skipped,0.0
2025-11-06T19:49:55.398204+00:00,2025-11-06,19:49:55.398204,45,AUDUSD,short,0,1.0,0.64832,0.64882,0.6473200000000001,skipped,0.0
2025-11-06T19:50:27.254341+00:00,2025-11-06,19:50:27.254341,45,EURUSD,short,0,1.0,1.15441,1.155366323,1.1524973539999999,skipped,0.0
2025-11-06T19:50:28.234880+00:00,2025-11-06,19:50:28.234880,45,GBPUSD,short,0,1.0,1.3133,1.3146639900000001,1.3105720199999995,skipped,0.0
